1;Ü01;BMW Compact E46 (Dieselmotor), 2001, Motor-Nr.: 204D4;Licht vorne geht nicht, Abblendlicht VL n.i.O.;;;Unterbrechung auf Plusleitung von linken Abblendlicht E104 Pin 2 nach SG A192 Pin 7;Multimeter
2;Ü01;Golf 6 1,4 l (Benzinmotor), 2012, Motor-Nr.: CAXA;Rückfahrlicht ohne Funktion, Rückfahrlicht links n.i.O.;;;Unterbrechung auf Plusleitung von linken Rückfahrlicht M16 Pin 3 nach SG J519 Pin 28;Multimeter, Rechtslenker im Stromlaufplan beachten, Rückwärtsgang ein/aus
3;Ü02;Golf 6 1,4 l (Benzinmotor), 2012, Motor-Nr.: CAXA;Beleuchtung hinten defekt, Schlusslicht re. leuchtet schwach, n.i.O.;;;Übergangswiderstand auf Plusleitung von rechten Schlusslicht M22 Pin 1 nach SG J519 Pin 26. Spannungsverlust von $1,15~V$.;Oszi, Multimeter, Brems- und Schlusslicht ist eine Einfaden-Glühlampe, PWM-Signal $\to$ Oszi messen
4;Ü02;BMW Compact E46 (Dieselmotor), 2001, Motor-Nr.: 204D4;Beleuchtung vorne geht nicht, Standlicht links n.i.O.;;;Unterbrechung auf Zuleitung von linken Standlicht E5 Pin 2 nach SG A192 Pin 45;Multimeter, Ersatzwert von SG (Blinklicht VL an normal) wenn Standlicht def., Bauteilprüfung oder Quertausch
5;Ü03;VW Caddy 2,0 l (Dieselmotor), 2016, Motor-Nr.: DFSD;Kraftstoffverbrauch zu hoch;i.O.;Kühlmitteltemperatur $5^\circ\text{C}$;Übergangswiderstand auf Signalleitung von Kühlmitteltemperaturgeber G62 Pin 1 nach SG J623 Pin 38. Spannungsverlust von $2,8~V$.;Multimeter, NTC Kühlmitteltemperaturgeber, ($U_K$ SG) Istwert = Sollwert ($U_K$ Sensor), Referenzspannung am SG messen Strecker trennen
6;Ü04;BMW Compact E46 (Dieselmotor), 2001, Motor-Nr.: 204D4;Kraftstoffverbrauch zu hoch;i.O.;Ansauglufttemperatur $-40^\circ\text{C}$;Unterbrechung auf Signalleitung von Ansauglufttemperatursensor B6217 Pin 1 nach SG A2249 Pin 57. Referenzspannung ist mit Messung 1 als i.O. zu bewerten.;Multimeter, NTC - Ansauglufttemperatursensor, ($U_K$ SG) Istwert = Sollwert ($U_K$ Sensor)
7;Ü04;BMW 344 E36, 1997, Motor-Nr.: 164E2;Kraftstoffverbrauch zu hoch;i.O.;Ansauglufttemperatur $1^\circ\text{C}$;Übergangswiderstand auf Signalleitung von Ansauglufttemperatursensor B6233 Pin 4 nach SG A6000 Pin 77. Spannungsverlust von $1,9~V$.;Multimeter, NTC Ansauglufttemperatursensor, ($U_K$ SG) Istwert = Sollwert ($U_K$ Sensor)
8;Ü05;VW Caddy 2,0 l (Dieselmotor), 2016, Motor-Nr.: DFSD;Nimmt schlecht Gas an;n.i.O.;Fahrpedalsensor1 0,0 mV, Fahrpedalsensor2 i.O.;Unterbrechung auf Signalleitung von Fahrpedalsensor 1 G79 Pin 4 nach SG J623 Pin 77;Oszi, Multimeter, Poti Fahrpedalsensor, Durchgangsprüfung und Masseschlussprüfung Signalleitung
9;Ü06;BMW 344 E36, 1997, Motor-Nr.: 164E2;Bockt beim Gas geben;i.O.;Drosselklappenpositionssensor 2,08 bis 2,98 V;Übergangswiderstand auf Plusleitung von Drosselklappenpositionssensor R6252 Pin 1 nach SG A6000 Pin 59. Übergangswiderstand Masseleitung von Drosselklappenpositionssensor R6252 Pin 3 nach Masse-Verteiler X8005 Pin 5. Spannungsverlust gesamt $4~V$.;Oszi, Multimeter, Poti Drosselklappenpositionssensor
10;Ü06;Golf 6 1,4 l (Benzinmotor), 2012, Motor-Nr.: CAXA;Schlechte Gasannahme;Fahrpedalsensor 1 und 2 - Signal zu niedrig;Sensor D 0 \%;Übergangswiderstand auf Plusleitung von Gaspedalstellungsgeber G79 Pin 2 nach SG J623. Spannungsverlust von $2,4~V$.;Oszi, Cipos Fahrpedalsensor, Cipos (Hella berührungslos arbeitet nur wenn volle Versorgungsspannung anliegt)
11;Ü07;VW Caddy 2,0 l (Dieselmotor), 2016, Motor-Nr.: DFSD;Motor springt verzögert an;Nockenwellensensor;Nockenwellendrehzahl $0~min^{-1}$;Unterbrechung auf Signalleitung von Nockenwellengeber G40 Pin 2 nach SG J623 Pin 59.;Oszi, Hallgeber Nockenwellensensor, Gutbild Hallgeber Sollwert: Rechtecksignal ($+5/12~V$), PWM + Diodenprüflampe || bei Signalleitungsbruch, Referenz auf Oszi-Signalbild (Sollwert)
